job_id,route_id,customer_id,region,priority,job_type,technician_id,created_at,scheduled_date,completed_at,status
JOB-000001,RT-00001,CUST-00129,East,Standard,Maintenance,TECH-0016,2023-06-21 14:22:53.427850,2023-06-22,2023-06-22 08:49:00,completed
JOB-000002,RT-00001,CUST-01937,East,Rush,Repair,TECH-0016,2023-06-21 18:01:02.231009,2023-06-22,2023-06-22 10:34:00,completed
JOB-000003,RT-00001,CUST-00222,East,Standard,Install,TECH-0016,2023-06-21 13:08:41.399474,2023-06-22,2023-06-22 12:22:00,completed
JOB-000004,RT-00002,CUST-03507,South,Standard,Install,TECH-0012,2023-06-06 00:39:59.033682,2023-06-06,2023-06-06 10:07:00,completed
JOB-000005,RT-00002,CUST-00876,South,Emergency,Inspection,TECH-0012,2023-06-06 09:27:34.800007,2023-06-06,,cancelled
JOB-000006,RT-00002,CUST-03922,South,Emergency,Inspection,TECH-0012,2023-06-06 08:58:37.387041,2023-06-06,2023-06-06 11:16:00,completed
JOB-000007,RT-00003,CUST-03488,Central,Emergency,Repair,TECH-0008,2023-03-24 06:03:44.315291,2023-03-24,2023-03-24 10:41:00,completed
JOB-000008,RT-00003,CUST-00163,Central,Standard,Install,TECH-0008,2023-03-23 05:26:39.221291,2023-03-24,,cancelled
JOB-000009,RT-00004,CUST-03806,North,Standard,Install,TECH-0021,2025-01-19 08:59:55.627705,2025-01-20,2025-01-20 10:28:00,completed
JOB-000010,RT-00004,CUST-03609,North,Standard,Install,TECH-0021,2025-01-18 13:34:11.714526,2025-01-20,2025-01-20 11:23:00,completed
JOB-000011,RT-00004,CUST-03306,North,Standard,Install,TECH-0021,2025-01-18 12:30:37.635656,2025-01-20,2025-01-20 12:48:00,completed
JOB-000012,RT-00004,CUST-03645,North,Emergency,Install,TECH-0021,2025-01-20 12:25:29.710060,2025-01-20,2025-01-20 15:16:00,completed
JOB-000013,RT-00005,CUST-03398,East,Standard,Maintenance,TECH-0010,2024-02-08 02:53:53.455244,2024-02-08,2024-02-08 10:35:00,completed
JOB-000014,RT-00005,CUST-00040,East,Rush,Install,TECH-0010,2024-02-08 01:30:29.257259,2024-02-08,2024-02-08 11:40:00,completed
JOB-000015,RT-00005,CUST-01263,East,Standard,Maintenance,TECH-0010,2024-02-07 08:33:29.055352,2024-02-08,2024-02-08 12:52:00,completed
JOB-000016,RT-00006,CUST-00666,West,Emergency,Repair,TECH-0002,2024-05-28 06:23:44.046015,2024-05-28,2024-05-28 09:36:00,completed
JOB-000017,RT-00006,CUST-01017,West,Rush,Maintenance,TECH-0002,2024-05-27 22:10:26.892903,2024-05-28,2024-05-28 11:57:00,completed
JOB-000018,RT-00006,CUST-03762,West,Standard,Inspection,TECH-0002,2024-05-27 23:30:07.663724,2024-05-28,2024-05-28 13:04:00,completed
JOB-000019,RT-00007,CUST-03456,Central,Emergency,Maintenance,TECH-0029,2023-11-23 06:05:04.341811,2023-11-23,2023-11-23 08:27:00,completed
JOB-000020,RT-00007,CUST-01780,Central,Standard,Maintenance,TECH-0029,2023-11-22 23:51:49.036521,2023-11-23,,no_show
JOB-000021,RT-00007,CUST-01787,Central,Standard,Install,TECH-0029,2023-11-23 04:36:49.173060,2023-11-23,2023-11-23 13:04:00,completed
JOB-000022,RT-00008,CUST-02732,Central,Rush,Inspection,TECH-0020,2023-10-10 00:15:35.384782,2023-10-10,2023-10-10 10:32:00,completed
JOB-000023,RT-00008,CUST-03065,Central,Standard,Repair,TECH-0020,2023-10-09 14:21:03.388104,2023-10-10,2023-10-10 12:37:00,completed
JOB-000024,RT-00008,CUST-02376,Central,Standard,Maintenance,TECH-0020,2023-10-09 14:31:05.717042,2023-10-10,2023-10-10 15:29:00,completed
JOB-000025,RT-00008,CUST-02699,Central,Standard,Install,TECH-0020,2023-10-09 03:45:03.706963,2023-10-10,2023-10-10 17:22:00,completed
JOB-000026,RT-00009,CUST-03148,Central,Standard,Install,TECH-0024,2025-06-05 01:14:14.202667,2025-06-06,2025-06-06 09:18:00,completed
JOB-000027,RT-00009,CUST-02817,Central,Rush,Install,TECH-0024,2025-06-06 06:44:11.147365,2025-06-06,2025-06-06 11:06:00,completed
JOB-000028,RT-00009,CUST-01021,Central,Standard,Install,TECH-0024,2025-06-06 05:09:25.407794,2025-06-06,,no_show
JOB-000029,RT-00009,CUST-03652,Central,Rush,Inspection,TECH-0024,2025-06-05 22:01:57.861144,2025-06-06,,no_show
JOB-000030,RT-00010,CUST-01802,South,Rush,Install,TECH-0019,2024-09-02 10:53:02.578803,2024-09-03,2024-09-03 09:46:00,completed
JOB-000031,RT-00010,CUST-00626,South,Standard,Repair,TECH-0019,2024-09-02 07:01:41.901804,2024-09-03,2024-09-03 12:10:00,completed
JOB-000032,RT-00010,CUST-02393,South,Standard,Install,TECH-0019,2024-09-02 13:54:49.266785,2024-09-03,2024-09-03 14:08:00,completed
JOB-000033,RT-00010,CUST-02205,South,Emergency,Repair,TECH-0019,2024-09-03 11:18:22.839183,2024-09-03,2024-09-03 15:15:00,completed
JOB-000034,RT-00010,CUST-03443,South,Standard,Inspection,TECH-0019,2024-09-02 00:48:54.255812,2024-09-03,2024-09-03 18:07:00,completed
JOB-000035,RT-00011,CUST-01383,South,Rush,Inspection,TECH-0023,2025-02-04 02:20:22.955985,2025-02-04,2025-02-04 09:09:00,completed
JOB-000036,RT-00011,CUST-01434,South,Standard,Repair,TECH-9999,2025-02-03 05:51:56.022809,2025-02-04,2025-02-04 11:43:00,completed
JOB-000037,RT-00012,CUST-02866,Central,Standard,Maintenance,TECH-0024,2023-02-27 17:50:34.416720,2023-02-28,2023-02-28 08:47:00,completed
JOB-000038,RT-00012,CUST-03805,Central,Rush,Maintenance,TECH-0024,2023-02-27 23:39:11.024445,2023-02-28,2023-02-28 10:09:00,completed
JOB-000039,RT-00013,CUST-03206,North,Rush,Install,TECH-0014,2024-07-22 15:45:32.405018,2024-07-23,2024-07-23 09:08:00,completed
JOB-000040,RT-00013,CUST-02008,North,Standard,Install,TECH-9999,2024-07-22 11:11:02.695451,2024-07-23,2024-07-23 11:34:00,completed
JOB-000041,RT-00013,CUST-01107,North,Rush,Inspection,TECH-0014,2024-07-22 20:42:04.418513,2024-07-23,2024-07-23 14:28:00,completed
JOB-000042,RT-00014,CUST-03486,South,Standard,Maintenance,TECH-0027,2025-04-27 02:44:37.044988,2025-04-29,2025-04-29 10:45:00,completed
JOB-000043,RT-00014,CUST-00042,South,Rush,Repair,TECH-0027,2025-04-28 05:09:13.801453,2025-04-29,2025-04-29 12:56:00,completed
JOB-000044,RT-00014,CUST-03248,South,Standard,Install,TECH-0027,2025-04-28 04:45:48.980681,2025-04-29,2025-04-29 15:15:00,completed
JOB-000045,RT-00014,CUST-01743,South,Rush,Maintenance,TECH-0027,2025-04-29 07:24:03.933607,2025-04-29,2025-04-29 17:33:00,completed
JOB-000046,RT-00015,CUST-02445,East,Standard,Maintenance,TECH-0010,2024-03-13 01:25:29.434096,2024-03-14,2024-03-14 08:29:00,completed
JOB-000047,RT-00015,CUST-03991,East,Standard,Install,TECH-9999,2024-03-11 09:14:41.804836,2024-03-14,2024-03-14 10:20:00,completed
JOB-000048,RT-00015,CUST-01961,East,Rush,Inspection,TECH-0010,2024-03-14 08:00:17.937366,2024-03-14,2024-03-14 11:57:00,completed
JOB-000049,RT-00015,CUST-02364,East,Standard,Install,TECH-0010,2024-03-14 05:35:29.599878,2024-03-14,2024-03-14 13:01:00,completed
JOB-000050,RT-00016,CUST-02411,North,Rush,Inspection,TECH-0021,2024-03-12 02:17:22.930844,2024-03-12,2024-03-12 09:02:00,completed
JOB-000051,RT-00016,CUST-00865,North,Rush,Maintenance,TECH-0021,2024-03-12 05:23:59.453086,2024-03-12,2024-03-12 10:06:00,completed
