billing_id,job_id,line_type,description,amount,billed_at
BILL-000001,JOB-000001,parts,Sensor kit,88.96,2023-06-24 05:49:00
BILL-000002,JOB-000002,parts,Compressor unit,663.27,2023-06-24 00:34:00
BILL-000003,JOB-000002,parts,Control board,202.82,2023-06-22 21:34:00
BILL-000004,JOB-000002,credit_return,Customer return/adjustment,-42.39,2023-06-24 10:34:00
BILL-000005,JOB-000003,parts,Control board,96.31,2023-06-23 15:22:00
BILL-000006,JOB-000004,parts,Thermostat,150.34,2023-06-07 20:07:00
BILL-000007,JOB-000006,parts,Thermostat,112.81,2023-06-07 16:16:00
BILL-000008,JOB-000006,parts,Compressor unit,442.68,2023-06-06 15:16:00
BILL-000009,JOB-000007,parts,Sensor kit,118.84,2023-03-25 12:41:00
BILL-000010,JOB-000009,parts,Thermostat,168.85,2025-01-21 03:28:00
BILL-000011,JOB-000009,parts,Valve assembly,107.78,2025-01-20 21:28:00
BILL-000012,JOB-000009,parts,Valve assembly,38.16,2025-01-20 19:28:00
BILL-000013,JOB-000010,parts,Compressor unit,234.83,2025-01-22 11:23:00
BILL-000014,JOB-000010,parts,Control board,283.2,2025-01-21 08:23:00
BILL-000015,JOB-000011,parts,Wiring harness,25.05,2025-01-21 12:48:00
BILL-000016,JOB-000011,parts,Wiring harness,26.23,2025-01-20 19:48:00
BILL-000017,JOB-000012,parts,Filter pack,17.06,2025-01-21 02:16:00
BILL-000018,JOB-000012,parts,Control board,89.53,2025-01-20 16:16:00
BILL-000019,JOB-000012,parts,Valve assembly,38.39,2025-01-22 08:16:00
BILL-000020,JOB-000013,parts,Valve assembly,41.62,2024-02-09 23:35:00
BILL-000021,JOB-000013,credit_return,Customer return/adjustment,-88.99,2024-02-16 10:35:00
BILL-000022,JOB-000014,parts,Compressor unit,440.95,2024-02-09 07:40:00
BILL-000023,JOB-000014,credit_return,Customer return/adjustment,-41.75,2024-02-13 11:40:00
BILL-000024,JOB-000015,parts,Refrigerant refill,136.55,2024-02-10 11:52:00
BILL-000025,JOB-000015,parts,Filter pack,18.73,2024-02-08 19:52:00
BILL-000026,JOB-000016,parts,Control board,302.53,2024-05-28 19:36:00
BILL-000027,JOB-000016,parts,Compressor unit,762.63,2024-05-29 16:36:00
BILL-000028,JOB-000016,parts,Compressor unit,447.48,2024-05-30 05:36:00
BILL-000029,JOB-000017,parts,Control board,269.7,2024-05-29 01:57:00
BILL-000030,JOB-000017,parts,Sensor kit,118.86,2024-05-29 20:57:00
BILL-000031,JOB-000017,parts,Filter pack,38.05,2024-05-29 09:57:00
BILL-000032,JOB-000018,parts,Wiring harness,29.65,2024-05-30 09:04:00
BILL-000033,JOB-000018,parts,Wiring harness,25.9,2024-05-30 05:04:00
BILL-000034,JOB-000018,parts,Control board,96.27,2024-05-29 21:04:00
BILL-000035,JOB-000019,parts,Sensor kit,85.8,2023-11-23 14:27:00
BILL-000036,JOB-000021,parts,Filter pack,19.56,2023-11-24 00:04:00
BILL-000037,JOB-000021,parts,Control board,192.91,2023-11-24 12:04:00
BILL-000038,JOB-000022,parts,Thermostat,118.5,2023-10-11 03:32:00
BILL-000039,JOB-000023,parts,Sensor kit,46.51,2023-10-11 20:37:00
BILL-000040,JOB-000023,parts,Compressor unit,514.46,2023-10-11 14:37:00
BILL-000041,JOB-000024,parts,Sensor kit,82.73,2023-10-12 07:29:00
BILL-000042,JOB-000024,parts,Filter pack,33.0,2023-10-11 18:29:00
BILL-000043,JOB-000024,parts,Thermostat,116.15,2023-10-12 11:29:00
BILL-000044,JOB-000024,credit_return,Customer return/adjustment,-88.31,2023-10-11 15:29:00
