stop_id,route_id,job_id,technician_id,prev_stop_id,stop_type,arrival_ts,departure_ts,distance_from_prev_km
STOP-000001,RT-00001,,TECH-0016,,depot_start,2023-06-22 07:00:00,2023-06-22 07:00:00,
STOP-000002,RT-00001,JOB-000001,TECH-0016,STOP-000001,job_stop,2023-06-22 07:31:00,2023-06-22 08:49:00,15.76
STOP-000003,RT-00001,JOB-000002,TECH-0016,STOP-000002,job_stop,2023-06-22 09:03:00,2023-06-22 10:34:00,9.88
STOP-000004,RT-00001,JOB-000003,TECH-0016,STOP-000003,job_stop,2023-06-22 11:14:00,2023-06-22 12:22:00,32.92
STOP-000005,RT-00001,,TECH-0016,STOP-000004,depot_end,2023-06-22 12:33:00,2023-06-22 12:33:00,7.27
STOP-000006,RT-00002,,TECH-0012,,depot_start,2023-06-06 07:15:00,2023-06-06 07:15:00,
STOP-000007,RT-00002,JOB-000004,TECH-0012,STOP-000006,job_stop,2023-06-06 07:59:00,2023-06-06 10:07:00,29.9
STOP-000008,RT-00002,JOB-000005,TECH-0012,STOP-000007,job_stop,2023-06-06 10:20:00,2023-06-06 10:43:00,9.89
STOP-000009,RT-00002,JOB-000006,TECH-0012,STOP-000008,job_stop,2023-06-06 10:56:00,2023-06-06 11:16:00,7.36
STOP-000010,RT-00002,,TECH-0012,STOP-000009,depot_end,2023-06-06 11:30:00,2023-06-06 11:30:00,8.06
STOP-000011,RT-00003,,TECH-0008,,depot_start,2023-03-24 08:00:00,2023-03-24 08:00:00,
STOP-000012,RT-00003,JOB-000007,TECH-0008,STOP-000011,job_stop,2023-03-24 08:13:00,2023-03-24 10:41:00,9.54
STOP-000013,RT-00003,JOB-000008,TECH-0008,STOP-000012,job_stop,2023-03-24 10:55:00,2023-03-24 12:15:00,10.33
STOP-000014,RT-00003,,TECH-0008,STOP-000013,depot_end,2023-03-24 12:38:00,2023-03-24 12:38:00,17.55
STOP-000015,RT-00004,,TECH-0021,,depot_start,2025-01-20 08:15:00,2025-01-20 08:15:00,
STOP-000016,RT-00004,JOB-000009,TECH-0021,STOP-000015,job_stop,2025-01-20 09:07:00,2025-01-20 10:28:00,40.9
STOP-000017,RT-00004,JOB-000010,TECH-0021,STOP-000016,job_stop,2025-01-20 10:38:00,2025-01-20 11:23:00,6.83
STOP-000018,RT-00004,JOB-000011,TECH-0021,STOP-000017,job_stop,2025-01-20 11:48:00,2025-01-20 12:48:00,16.2
STOP-000019,RT-00004,JOB-000012,TECH-0021,STOP-000018,job_stop,2025-01-20 13:40:00,2025-01-20 15:16:00,43.0
STOP-000020,RT-00004,,TECH-0021,STOP-000019,depot_end,2025-01-20 15:49:00,2025-01-20 15:49:00,23.8
STOP-000021,RT-00005,,TECH-0010,,depot_start,2024-02-08 08:15:00,2024-02-08 08:15:00,
STOP-000022,RT-00005,JOB-000013,TECH-0010,STOP-000021,job_stop,2024-02-08 09:08:00,2024-02-08 10:35:00,39.95
STOP-000023,RT-00005,JOB-000014,TECH-0010,STOP-000022,job_stop,2024-02-08 10:47:00,2024-02-08 11:40:00,6.02
STOP-000024,RT-00005,JOB-000015,TECH-0010,STOP-000023,job_stop,2024-02-08 11:54:00,2024-02-08 12:52:00,12.29
STOP-000025,RT-00005,,TECH-0010,STOP-000024,depot_end,2024-02-08 13:30:00,2024-02-08 13:30:00,33.18
STOP-000026,RT-00006,,TECH-0002,,depot_start,2024-05-28 07:00:00,2024-05-28 07:00:00,
STOP-000027,RT-00006,JOB-000016,TECH-0002,STOP-000026,job_stop,2024-05-28 07:32:00,2024-05-28 09:36:00,25.99
STOP-000028,RT-00006,JOB-000017,TECH-0002,STOP-000027,job_stop,2024-05-28 10:12:00,2024-05-28 11:57:00,18.36
STOP-000029,RT-00006,JOB-000018,TECH-0002,STOP-000028,job_stop,2024-05-28 12:17:00,2024-05-28 13:04:00,16.3
STOP-000030,RT-00006,,TECH-0002,STOP-000029,depot_end,2024-05-28 13:25:00,2024-05-28 13:25:00,13.06
