timesheet_id,technician_id,job_id,work_date,hours_worked,entry_type,logged_at
TS-000001,TECH-0016,JOB-000001,2023-06-22,1.3,job,2023-06-22 18:00:00
TS-000002,TECH-0016,JOB-000001,2023-06-22,1.3,job,2023-06-22 18:45:00
TS-000003,TECH-0016,JOB-000002,2023-06-22,1.52,job,2023-06-22 18:00:00
TS-000004,TECH-0016,JOB-000003,2023-06-22,1.13,job,2023-06-22 18:00:00
TS-000005,TECH-0012,JOB-000004,2023-06-06,2.13,job,2023-06-06 18:00:00
TS-000006,TECH-0012,JOB-000005,2023-06-06,0.38,job,2023-06-06 18:00:00
TS-000007,TECH-0012,JOB-000006,2023-06-06,0.33,job,2023-06-06 18:00:00
TS-000008,TECH-0008,JOB-000007,2023-03-24,2.47,job,2023-03-24 18:00:00
TS-000009,TECH-0008,JOB-000008,2023-03-24,1.33,job,2023-03-24 18:00:00
TS-000010,TECH-0021,JOB-000009,2025-01-20,1.35,job,2025-01-20 18:00:00
TS-000011,TECH-0021,JOB-000010,2025-01-20,0.75,job,2025-01-20 18:00:00
TS-000012,TECH-0021,JOB-000011,2025-01-20,1.0,job,2025-01-20 18:00:00
TS-000013,TECH-0021,JOB-000012,2025-01-20,1.6,job,2025-01-20 18:00:00
TS-000014,TECH-0010,JOB-000013,2024-02-08,1.45,job,2024-02-08 18:00:00
TS-000015,TECH-0010,JOB-000014,2024-02-08,0.88,job,2024-02-08 18:00:00
TS-000016,TECH-0010,JOB-000015,2024-02-08,0.97,job,2024-02-08 18:00:00
TS-000017,TECH-0002,JOB-000016,2024-05-28,2.07,job,2024-05-28 18:00:00
TS-000018,TECH-0002,JOB-000017,2024-05-28,1.75,job,2024-05-28 18:00:00
TS-000019,TECH-0002,JOB-000018,2024-05-28,0.78,job,2024-05-28 18:00:00
TS-000020,TECH-0029,JOB-000019,2023-11-23,0.62,job,2023-11-23 18:00:00
TS-000021,TECH-0029,JOB-000021,2023-11-23,2.5,job,2023-11-23 18:00:00
TS-000022,TECH-0020,JOB-000022,2023-10-10,0.78,job,2023-10-10 18:00:00
TS-000023,TECH-0020,JOB-000022,2023-10-10,0.89,job,2023-10-10 18:01:00
TS-000024,TECH-0020,JOB-000023,2023-10-10,0.63,job,2023-10-10 18:00:00
TS-000025,TECH-0020,JOB-000023,2023-10-10,0.95,job,2023-10-10 18:01:00
TS-000026,TECH-0020,JOB-000024,2023-10-10,2.05,job,2023-10-10 18:00:00
TS-000027,TECH-0020,JOB-000025,2023-10-10,0.59,job,2023-10-10 18:00:00
TS-000028,TECH-0020,JOB-000025,2023-10-10,0.65,job,2023-10-10 18:01:00
TS-000029,TECH-0024,JOB-000026,2025-06-06,1.17,job,2025-06-06 18:00:00
TS-000030,TECH-0024,JOB-000027,2025-06-06,0.47,job,2025-06-06 18:00:00
TS-000031,TECH-0024,JOB-000027,2025-06-06,0.47,job,2025-06-06 18:45:00
TS-000032,TECH-0024,JOB-000027,2025-06-06,0.68,job,2025-06-06 18:01:00
TS-000033,TECH-0019,JOB-000030,2024-09-03,1.38,job,2024-09-03 18:00:00
TS-000034,TECH-0019,JOB-000031,2024-09-03,1.48,job,2024-09-03 18:00:00
TS-000035,TECH-0019,JOB-000032,2024-09-03,1.73,job,2024-09-03 18:00:00
TS-000036,TECH-0019,JOB-000033,2024-09-03,0.35,job,2024-09-03 18:00:00
TS-000037,TECH-0019,JOB-000034,2024-09-03,2.18,job,2024-09-03 18:00:00
TS-000038,TECH-0023,JOB-000035,2025-02-04,0.9,job,2025-02-04 18:00:00
TS-000039,TECH-9999,JOB-000036,2025-02-04,2.12,job,2025-02-04 18:00:00
TS-000040,TECH-0024,JOB-000037,2023-02-28,1.35,job,2023-02-28 18:00:00
TS-000041,TECH-0024,JOB-000038,2023-02-28,0.82,job,2023-02-28 18:00:00
TS-000042,TECH-0014,JOB-000039,2024-07-23,1.62,job,2024-07-23 18:00:00
TS-000043,TECH-9999,JOB-000040,2024-07-23,1.9,job,2024-07-23 18:00:00
TS-000044,TECH-0014,JOB-000041,2024-07-23,2.28,job,2024-07-23 18:00:00
TS-000045,TECH-0027,JOB-000042,2025-04-29,2.25,job,2025-04-29 18:00:00
TS-000046,TECH-0027,JOB-000043,2025-04-29,1.83,job,2025-04-29 18:00:00
TS-000047,TECH-0027,JOB-000044,2025-04-29,2.07,job,2025-04-29 18:00:00
TS-000048,TECH-0027,JOB-000045,2025-04-29,1.29,job,2025-04-29 18:00:00
TS-000049,TECH-0027,JOB-000045,2025-04-29,0.76,job,2025-04-29 18:01:00
TS-000050,TECH-0010,JOB-000046,2024-03-14,1.12,job,2024-03-14 18:00:00
TS-000051,TECH-9999,JOB-000047,2024-03-14,1.58,job,2024-03-14 18:00:00
TS-000052,TECH-0010,JOB-000048,2024-03-14,0.87,job,2024-03-14 18:00:00
TS-000053,TECH-0010,JOB-000049,2024-03-14,0.55,job,2024-03-14 18:00:00
TS-000054,TECH-0021,JOB-000050,2024-03-12,1.28,job,2024-03-12 18:00:00
TS-000055,TECH-0021,JOB-000051,2024-03-12,0.58,job,2024-03-12 18:00:00
TS-000056,TECH-0009,JOB-000052,2023-09-06,1.29,job,2023-09-06 18:00:00
TS-000057,TECH-0009,JOB-000052,2023-09-06,1.04,job,2023-09-06 18:01:00
TS-000058,TECH-0009,JOB-000052,2023-09-06,1.04,job,2023-09-06 18:46:00
TS-000059,TECH-0009,JOB-000053,2023-09-06,1.17,job,2023-09-06 18:00:00
TS-000060,TECH-0023,JOB-000054,2025-03-26,2.05,job,2025-03-26 18:00:00
TS-000061,TECH-0023,JOB-000055,2025-03-26,0.72,job,2025-03-26 18:00:00
